Epoch,Loss
1,1.4131384915235812
2,0.6552418551078608
3,0.6405591404546125
4,0.6265020665100732
5,0.6130377287697166
6,0.6001355629166893
7,0.5877671240882982
8,0.5759058917418176
9,0.5645270969067212
10,0.553607568756262
11,0.5431255979566568
12,0.5330608146318097
13,0.5233940790601769
14,0.5141073835461687
15,0.505183764086441
16,0.4966072206881675
17,0.4883626453120393
18,0.4804357565818826
19,0.4728130404946005
20,0.4654816964696351
21,0.45842958816506696
22,0.4516451985678568
23,0.4451175888922198
24,0.4388363609147067
25,0.43279162239921476
26,0.42697395530685506
27,0.42137438651241343
28,0.4159843608079825
29,0.41079571596516007
30,0.40580065967554696
31,0.4009917481934916
32,0.39636186653907773
33,0.39190421011535853
34,0.387612267621577
35,0.3834798051595083
36,0.37950085142031537
37,0.3756696838766685
38,0.37198081588956594
39,0.3684289846599985
40,0.3650091399615171
41,0.3617164335879341
42,0.3585462094675829
43,0.35549399438765894
44,0.352555489289396
45,0.3497265610875894
46,0.34700323497537144
47,0.3443816871871991
48,0.34185823817916877
49,0.3394293462008735
50,0.33709160123035836
